title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
Jingle Bell Bride,TV-G,84,6.1,8.9,NA,Drama,Romance,NA,"Wedding planner Jessica Perez travels to a remote town in Alaska to find a rare flower for a celebrity client and is charmed by the small town during Christmas, as well as by the handsome local helping her.",Allan Harmon,"Julie Gonzalo, Ronnie Rowe, BJ Harrison, Keenan Mentzos,",1370,NA
The Christmas Bow,TV-G,83,6.7,1.4,NA,Drama,Music,Romance,"When an accident puts her music dreams on hold, a gifted violinist reconnects with an old family friend who helps her heal and find love during the holidays.",Clare Niederpruem,"Lucia Micarelli, Michael Rady, James Saito, Joy Perry,",1241,NA
Christmas on Ice,TV-PG,87,6.1,9,NA,Romance,NA,NA,A former figure skater and a former hockey player work together to void the mayor from closing the local skating rink.,John Stimpson,"Abigail Klein, Ryan Cooper, Caroline Portu, Will Lyman,",1108,NA
Christmas Mail,TV-PG,89,5.3,1.6,NA,Comedy,Drama,Family,"In this holiday romantic comedy, a mysterious woman who works at the post office answering Santa's mail captures the heart of a disillusioned postal carrier",John Murlowski,"Ashley Scott, A.J. Buckley, Lochlyn Munro, Rolonda Watts,",1910,NA
Christmas Holiday,NA,93,6.5,8.3,NA,Crime,Drama,Film-Noir,A young femme fatale-type woman realizes that the man she married is an incorrigible wastrel.,Robert Siodmak,"Deanna Durbin, Gene Kelly, Richard Whorf, Dean Harens,",1603,NA
'Tis the Season for Love,TV-G,98,6.3,5.5,NA,Comedy,Drama,Family,"A small-town girl who moved to New York to pursue her dreams returns home for the holidays, only to realize that maybe her dreams aren't miles away, but right in her hometown.",Terry Ingram,"Sarah Lancaster, Brendan Penny, Gwynyth Walsh, Andrew Francis,",2017,NA
Road to Christmas,TV-G,84,6.7,9.1,NA,Comedy,Drama,Romance,"A TV producer is producing a Christmas Special for the 5th year but she is then told to co-produce it with the host's son. Initially, she's not too happy about it but - Christmas brings friends and families together.",Allan Harmon,"Jessy Schram, Teryl Rothery, Matreya Scarrwener, Chad Michael Murray,",2209,NA
Girlfriends of Christmas Past,TV-PG,90,5.1,1.9,NA,Comedy,Romance,NA,This Christmas three women plot revenge on the guy who cruelly dumped them all. But will vengeance be worth risking a chance at new love?,Jake Helgren,"Tammin Sursok, Brent Bailey, Lindsey McKeon, Abigail Klein,",958,NA
My Favorite Christmas Melody,TV-PG,87,5.5,5.7,NA,Comedy,Romance,NA,"Follows Abby, a promising singer-songwriter, as she rediscovers her voice and goes after her dreams, and lets the possibility of love in too.",Michael Kennedy,"Mya, Rainbow Sun Francks, Shakura S'Aida, Carson Reaume,",278,NA
Thomas Kinkade's Christmas Cottage,PG,96,6.3,9,NA,Biography,Drama,NA,"A look at the inspiration behind Thomas Kinkade's painting The Christmas Cottage, and how the artist was motivated to begin his career after discovering his mother was in danger of losing their family home.",Michael Campus,"Peter O'Toole, Jared Padalecki, Marcia Gay Harden, Aaron Ashmore,",2791,NA
Saying Yes to Christmas,TV-PG,87,5.8,5.4,NA,Drama,Romance,NA,"A magical Christmas wish makes a career-obsessed woman say ""yes"" to every invitation while she's home for the holidays. However, past feelings get reignited when an old flame joins her hectic schedule of Yuletide activities.",Graeme Campbell,"Erika Prevost, Romaine Waite, Zoe Doyle, Sabrina Grdevich,",387,NA
A Christmas Reunion,TV-G,86,5.1,6.3,NA,Comedy,Romance,NA,"A high-flying advertising executive returns to her hometown following the death of her aunt, whose dying wish was for her niece to re-open her bakery shop and host the town's 50th annual Christmas cookie contest.",Sean Olson,"Denise Richards, Patrick Muldoon, Jake Busey, Parker Stevenson,",827,NA
Catch a Christmas Star,TV-G,84,6.2,6.8,NA,Comedy,Drama,Family,"With the help of his two precocious kids, a widower reconnects with his high school sweetheart, who just happens to be one of the biggest pop stars on the planet.",John Bradshaw,"Shannon Elizabeth, Steve Byers, Julia Lalonde, Kyle Breitkopf,",1899,NA
