title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
Love Actually,R,135,7.6,4.3,55,Comedy,Drama,Romance,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney,",517283,$59.70M
Home Alone,PG,103,7.7,8.8,63,Comedy,Family,NA,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard,",629713,$285.76M
National Lampoon's Christmas Vacation,PG-13,97,7.5,7.1,49,Comedy,NA,NA,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki,",213196,$71.32M
Elf,PG,97,7.1,6,66,Adventure,Comedy,Family,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel,",300546,$173.40M
How the Grinch Stole Christmas,PG,104,6.3,2.5,46,Comedy,Family,Fantasy,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor,",280898,$260.04M
The Grinch,PG,85,6.4,2.5,51,Animation,Comedy,Family,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams,",85219,$270.62M
Die Hard,R,132,8.2,1.8,72,Action,Thriller,NA,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson,",924658,$83.01M
Home Alone 2: Lost in New York,PG,120,6.9,8.1,46,Adventure,Comedy,Crime,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara,",389541,$173.59M
The Polar Express,G,100,6.6,6,61,Animation,Adventure,Comedy,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis,",233258,$183.37M
It's a Wonderful Life,PG,130,8.6,6.9,89,Drama,Family,Fantasy,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell,",486479,NA
The Santa Clause,PG,97,6.6,1.5,57,Comedy,Drama,Family,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd,",130393,$144.83M
White Christmas,NA,120,7.6,9,56,Comedy,Musical,Romance,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen,",48751,$30.00M
Scrooged,PG-13,101,6.9,7.9,38,Comedy,Drama,Fantasy,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover,",112793,$60.33M
Spirited,PG-13,127,6.6,3,55,Comedy,Family,Musical,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page,",46695,NA
Miracle on 34th Street,PG,114,6.6,2.7,NA,Drama,Family,Fantasy,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh,",42222,$17.19M
Jingle All the Way,PG,89,5.7,2.7,34,Adventure,Comedy,Family,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson,",113346,$60.57M
Klaus,PG,96,8.2,3.7,65,Animation,Adventure,Comedy,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso,",178753,NA
A Christmas Carol,PG,96,6.8,5.4,55,Animation,Adventure,Comedy,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine,",126638,$137.86M
Last Christmas,PG-13,103,6.5,4.7,50,Comedy,Drama,Fantasy,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller,",87409,$35.15M
Christmas with the Kranks,PG,99,5.5,3.6,22,Comedy,Family,NA,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh,",55959,$73.78M
The Santa Clause 2,G,104,5.7,6.1,48,Comedy,Family,Fantasy,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Michael Lembeck,"Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd,",62886,$139.24M
Miracle on 34th Street,NA,96,7.9,2.4,88,Comedy,Drama,Family,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart,",53189,$2.65M
Four Christmases,PG-13,88,5.7,3.6,41,Comedy,Drama,Romance,A couple struggles to visit all four of their divorced parents on Christmas.,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall,",78898,$120.15M
Home Alone 3,PG,102,4.6,4.2,NA,Action,Comedy,Crime,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen,",124554,$30.88M
The Muppet Christmas Carol,G,85,7.8,4.9,64,Comedy,Drama,Family,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson,",67536,$27.28M
Office Christmas Party,R,105,5.9,7.5,42,Comedy,NA,NA,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston,",86267,$54.77M
Feast of the Seven Fishes,NA,99,6.8,2.9,68,Comedy,NA,NA,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,"Tony Bingham, Skyler Gisondo, Paul Ben-Victor, Jean Zarzour,",2884,NA
Bad Santa,R,92,7.1,5.4,70,Comedy,Crime,Drama,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter,",152299,$60.06M
The Christmas Chronicles,PG,104,7,6,52,Adventure,Comedy,Family,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson,",81195,NA
The Nightmare Before Christmas,PG,76,7.9,1.7,82,Animation,Family,Fantasy,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey,",368946,$75.08M
Deck the Halls,PG,93,5,6.1,28,Comedy,Family,NA,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis,",32250,$35.09M
Best. Christmas. Ever!,TV-PG,82,4.4,2.6,34,Comedy,Romance,NA,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,"Heather Graham, Brandy Norwood, Jason Biggs, Matt Cedeño,",8063,NA
It's a Wonderful Knife,R,87,5.3,1.8,52,Comedy,Horror,Mystery,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse.",Tyler MacIntyre,"Jane Widdop, Joel McHale, Justin Long, Jess McLeod,",3853,NA
A Christmas Story Christmas,PG,98,6.7,8.8,55,Comedy,Family,NA,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,"Peter Billingsley, Erinn Hayes, River Drosche, Julianna Layne,",17394,NA
Santa's Slay,R,78,5.3,8.9,NA,Comedy,Fantasy,Horror,"Santa Claus is actually a demon who lost a bet with an angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.",David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin, Robert Culp,",11044,NA
Rudolph the Red-Nosed Reindeer,TV-G,47,8,7.7,NA,Animation,Adventure,Comedy,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles,",36467,NA
How the Grinch Stole Christmas!,NA,26,8.3,3.7,NA,Animation,Comedy,Family,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Chuck Jones,"Ben Washam, Boris Karloff, June Foray, Dal McKennon,",57368,NA
The Naughty Nine,TV-PG,83,5.2,2.1,NA,Adventure,Comedy,Crime,"When Andy finds out he's on Santa's ""naughty list,"" he pulls together a group of ""naughty list"" kids to get the presents they think they deserve.",Alberto Belli,"Winslow Fegley, Deric McCabe, Derek Theler, Danny Glover,",1527,NA
A Christmas Carol,PG,100,7.8,6.7,NA,Drama,Family,Fantasy,A bitter old miser who rationalizes his uncaring nature learns real compassion when three spirits visit him on Christmas Eve.,Clive Donner,"George C. Scott, Frank Finlay, Angela Pleasence, Edward Woodward,",17502,NA
Little Women,PG,135,7.8,4.8,91,Drama,Romance,NA,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen,",234116,$108.10M
Fred Claus,PG,116,5.7,2.3,42,Comedy,Family,Fantasy,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",David Dobkin,"Vince Vaughn, Paul Giamatti, Elizabeth Banks, John Michael Higgins,",46958,$72.01M
Noelle,G,100,6.3,5.2,48,Comedy,Family,Fantasy,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Marc Lawrence,"Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir,",26007,NA
The Santa Clause 3: The Escape Clause,G,92,4.8,1.6,32,Adventure,Comedy,Family,"Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.",Michael Lembeck,"Tim Allen, Martin Short, Elizabeth Mitchell, Eric Lloyd,",41887,$84.50M
Jack Frost,PG,101,5.4,8.5,40,Comedy,Drama,Family,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",Troy Miller,"Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy,",40067,$34.55M
Holidate,TV-MA,104,6.1,3.3,44,Comedy,Romance,NA,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher,",76442,NA
Black Christmas,R,98,7.1,6.5,65,Horror,Mystery,Thriller,"During their Christmas break, a group of sorority girls are stalked by a stranger.",Bob Clark,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon,",46769,$4.05M
Santa Claus,PG,107,6.2,3.8,NA,Adventure,Family,Fantasy,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,Jeannot Szwarc,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith,",15236,$23.72M
Love Hard,TV-MA,104,6.3,5.4,42,Comedy,Romance,NA,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.",Hernán Jiménez,"Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito,",59820,NA
Arthur Christmas,PG,97,7.1,5.6,69,Animation,Adventure,Comedy,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a misplaced present to a young girl in less than two hours on Christmas Day.,Sarah Smith,"Barry Cook, James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie,",65517,$46.46M
Holiday Inn,Passed,100,7.3,2.8,70,Comedy,Drama,Music,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.",Mark Sandrich,"Robert Allen, Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale,",17038,$8.18M
Catering Christmas,NA,86,6,9,NA,Comedy,Romance,NA,Molly Frost a struggling new catering business owner lands on New Hampshire's biggest event of the year.,T.W. Peacocke,"Merritt Patterson, Daniel Lissing, Michael Hanrahan, Rosemary Dunsmore,",3061,NA
Santa Claus Is Comin' to Town,TV-G,48,7.7,7.4,NA,Animation,Adventure,Comedy,A mailman reveals the origin of Santa Claus.,Jules Bass,"Arthur Rankin Jr., Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees,",16973,NA
A Merry Scottish Christmas,TV-G,84,6.6,8.7,NA,Comedy,Drama,Romance,Follows estranged siblings Lindsay and Brad as they travel to Scotland at Christmas to reunite with their mother Jo.,Dustin Rikert,"Lacey Chabert, Scott Wolf, James Robinson, Kellie Blaise,",1437,NA
Christmas in Connecticut,Approved,101,7.3,8.4,64,Comedy,Romance,NA,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.,Peter Godfrey,"Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet, Reginald Gardiner,",11520,NA
Happiest Season,PG-13,102,6.6,6,69,Comedy,Romance,NA,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber,",45966,NA
The Man Who Invented Christmas,PG,104,7,8.6,60,Biography,Comedy,Drama,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes, Miriam Margolyes,",18405,$5.68M
The Christmas Chronicles: Part Two,PG,112,6,2,51,Adventure,Comedy,Family,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas--forever.",Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison,",34558,NA
8-Bit Christmas,PG,97,6.7,2.8,66,Comedy,Family,NA,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",Michael Dowse,"Winslow Fegley, Neil Patrick Harris, Steve Zahn, June Diane Raphael,",20689,NA
A Christmas Carol,TV-PG,86,8.1,1.7,NA,Drama,Family,Fantasy,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways.",Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns,",24985,NA
Meet Me in St. Louis,Passed,113,7.5,3.9,94,Comedy,Drama,Family,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer,",26838,$7.57M
The Nutcracker and the Four Realms,PG,99,5.6,4.4,39,Adventure,Family,Fantasy,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Lasse Hallström,"Joe Johnston, Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren,",36570,$54.86M
Shazam!,PG-13,132,7,3.4,71,Action,Adventure,Comedy,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer,",377356,$140.37M
Home Sweet Home Alone,PG,93,3.6,7.8,35,Comedy,Crime,Family,A married couple tries to steal back a valuable heirloom from a troublesome kid.,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea,",19638,NA
A Bad Moms Christmas,R,104,5.6,4.1,42,Comedy,NA,NA,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Jon Lucas,"Scott Moore, Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez,",56624,$72.11M
Surviving Christmas,PG-13,91,5.4,3.5,19,Comedy,Romance,NA,"A lonely, obnoxious young millionaire pays a family to spend Christmas with him.",Mike Mitchell,"Ben Affleck, Christina Applegate, James Gandolfini, Catherine O'Hara,",27067,$11.66M
A Christmas Carol,TV-PG,95,7.4,5.6,NA,Drama,Fantasy,NA,An old bitter miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,David Hugh Jones,"Patrick Stewart, Richard E. Grant, Joel Grey, Ian McNeice,",10570,NA
The Year Without a Santa Claus,TV-G,51,7.7,2.4,NA,Animation,Comedy,Family,"When a weary and discouraged Santa Claus considers skipping his Christmas Eve run one year, Mrs. Claus and his elves set out to change his mind.",Jules Bass,"Arthur Rankin Jr., Shirley Booth, Mickey Rooney, Dick Shawn, George S. Irving,",11270,NA
A Charlie Brown Christmas,TV-G,25,8.3,7.6,NA,Animation,Comedy,Drama,"Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.",Bill Melendez,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez,",42695,NA
Fatman,R,100,5.9,1.9,40,Action,Adventure,Comedy,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",Eshom Nelms,"Ian Nelms, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield,",29172,NA
Nativity!,PG,105,6.4,9.1,NA,Comedy,Family,NA,An uptight but secretly heartbroken primary school teacher's little white lie about Hollywood coming to see his class' nativity play grows like wildfire in his rag-tag school low on self-esteem.,Debbie Isitt,"Martin Freeman, Marc Wootton, Jason Watkins, Ashley Jensen,",12088,NA
Batman Returns,PG-13,126,7.1,7.4,68,Action,Crime,Fantasy,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken,",322680,$162.83M
Edward Scissorhands,PG-13,105,7.9,2.9,74,Drama,Fantasy,Romance,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall,",515997,$56.36M
This Is Christmas,NA,111,7,1.3,NA,Comedy,Drama,Romance,"This rom-com set in London during the Christmas season follows Adam and Emma on their daily commute from the village of Langton to London, where they meet the same passengers every day.",Chris Foggin,"Alfred Enoch, Kaya Scodelario, Timothy Spall, Jack Donoghue,",2444,NA
Single All the Way,TV-PG,99,6.2,7.7,49,Comedy,Drama,Romance,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",Michael Mayer,"Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick,",19024,NA
Serendipity,PG-13,90,6.8,6.9,52,Comedy,Romance,NA,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Peter Chelsom,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan,",119511,$50.29M
The Bishop's Wife,G,109,7.6,7.1,73,Comedy,Drama,Fantasy,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley,",20151,NA
Frosty the Snowman,TV-G,25,7.3,7.4,NA,Animation,Short,Comedy,A living snowman and a little girl struggle to elude a greedy magician who is after the snowman's magic hat.,Jules Bass,"Arthur Rankin Jr., Jackie Vernon, Billy De Wolfe, Jimmy Durante, Paul Frees,",20959,NA
Just Friends,PG-13,96,6.2,1.9,47,Comedy,Romance,NA,"While visiting his hometown during Christmas, a man comes face-to-face with his old high-school crush and best friend--a woman whose rejection of him turned him into a ferocious womanizer.",Roger Kumble,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein,",125453,$32.62M
Time for Her to Come Home for Christmas,TV-G,84,6.6,4.1,NA,Drama,Romance,NA,"Carly heads to a small town to lead a church choir at Christmastime, facing her first holiday season without her mother. While there, she connects with a man back in town after serving in the Army.",Ali Liebert,"Shenae Grimes-Beech, Chris Carmack, Grace Leer, Brian Markinson,",502,NA
Silver Linings Playbook,R,122,7.7,2.2,81,Comedy,Drama,Romance,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver,",734121,$132.09M
Bad Santa 2,R,92,5.6,8.1,38,Comedy,Crime,Drama,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks,",27915,$17.78M
Scrooge,G,113,7.5,6.2,58,Drama,Family,Fantasy,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More,",12188,$3.70M
Home for Christmas,TV-MA,29,7.7,3.9,NA,Comedy,Drama,Romance,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.",Ida Elise Broch,"Dennis Storhøi, Oddgeir Thune, Hege Schøyen,",16410,NA
Rise of the Guardians,PG,97,7.2,1.8,58,Animation,Action,Adventure,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine,",189439,$103.41M
The Shop Around the Corner,NA,99,8,3.8,96,Comedy,Drama,Romance,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut,",37205,$0.20M
B&B Merry,NA,85,5.8,3.9,NA,Comedy,Romance,NA,"Tracey, a travel blogger, is invited by Graham to a Christmas getaway at his family's small bed and breakfast. It is facing tough competition from a hotel resort that has been stealing guests, threatening survival of the family business.",Paula Elle,"Jen Lilley, Jesse Hutch, Kate Twa, ShellyLyn Williams,",1499,NA
Remember the Night,Passed,94,7.6,7.1,78,Comedy,Drama,Romance,Love blooms between a sympathetic attorney and the comely shoplifter he has taken home for the Christmas holiday.,Mitchell Leisen,"Barbara Stanwyck, Fred MacMurray, Beulah Bondi, Elizabeth Patterson,",6866,$0.17M
I'll Be Home for Christmas,PG,86,5.5,6.3,NA,Comedy,Family,NA,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Arlene Sanford,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole,",11671,$12.21M
Haul out the Holly: Lit Up,TV-G,84,5.7,8.3,NA,Comedy,Romance,NA,"As the holidays approach, Emily and Jared are looking forward to celebrating the holidays together again.",Maclain Nelson,"Lacey Chabert, Wes Brown, Stephen Tobolowsky, Melissa Peterman,",818,NA
Jingle Jangle: A Christmas Journey,PG,122,6.4,5,69,Family,Fantasy,Musical,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose,",20265,NA
Dash & Lily,TV-14,NA,7.5,2.2,NA,Comedy,Drama,Romance,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",Midori Francis,"Austin Abrams, Dante Brown, Troy Iwata,",22518,NA
The Christmas Train,TV-G,99,6.4,6.9,NA,Drama,Romance,NA,"A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.",Ron Oliver,"Dermot Mulroney, Kimberly Williams-Paisley, Danny Glover, Joan Cusack,",3396,NA
I'm Glad It's Christmas,NA,85,6,7.3,NA,Comedy,Drama,Family,"Cora does everything to bring together Holly, a salesclerk who dreams of performing on Broadway, and Jason, a jingle writer and single father, for the town's holiday concert.",Ernie Barbarash,"Jessica Lowndes, Paul Greene, Gladys Knight, Sierra Wooldridge,",1054,NA
A Christmas Carol,Passed,69,7.5,5.7,72,Drama,Family,Fantasy,An elderly miser learns the error of his ways on Christmas Eve.,Edwin L. Marin,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn,",8494,NA
A Merry Friggin' Christmas,PG-13,88,5.1,7.4,28,Comedy,Drama,NA,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise.",Tristram Shapeero,"Joel McHale, Lauren Graham, Clark Duke, Oliver Platt,",8003,NA
A Christmas Horror Story,NA,99,5.8,5.2,49,Fantasy,Horror,Mystery,"Interwoven stories that take place on Christmas Eve, as told by one festive radio host: A family brings home more than a Christmas tree, a student documentary becomes a living nightmare, a Christmas spirit terrorizes, Santa slays evil.",Grant Harvey,"Steven Hoban, Brett Sullivan, William Shatner, George Buza, Rob Archer, Zoé De Grand Maison,",12080,NA
